date,time,query,response
2022-05-10,23:34:53,Entered,entered
2022-05-10,23:35:03,Exited,exited
2022-05-10,23:43:09,Entered,entered
2022-05-10,23:43:12,Exited,exited
2022-05-10,23:44:01,Entered,entered
2022-05-10,23:44:02,Exited,exited
2022-05-10,23:45:40,Entered,entered
2022-05-10,23:45:41,Exited,exited
2022-05-10,23:47:11,Entered,entered
2022-05-10,23:47:21,Exited,exited
2022-05-10,23:47:36,Entered,entered
2022-05-10,23:47:46,Exited,exited
2022-05-10,23:48:45,Entered,entered
2022-05-10,23:48:55,Exited,exited
2022-05-10,23:49:15,Entered,entered
2022-05-10,23:49:25,Exited,exited
2022-05-10,23:49:43,Entered,entered
2022-05-10,23:49:53,Exited,exited
2022-05-10,23:50:24,Entered,entered
2022-05-10,23:50:34,Exited,exited
2022-05-11,17:06:44,Entered,entered
2022-05-11,17:06:54,Exited,exited
2022-05-11,17:08:26,Entered,entered
2022-05-11,17:08:36,Exited,exited
2022-05-11,17:09:06,Entered,entered
2022-05-11,17:09:16,Exited,exited
2022-05-11,17:09:46,Entered,entered
2022-05-11,17:09:56,Exited,exited
2022-05-11,17:10:25,Entered,entered
2022-05-11,17:10:35,Exited,exited
2022-05-11,20:09:47,Entered,entered
2022-05-11,20:10:00,OTHERS,23.82
2022-05-11,20:15:53,Entered,entered
2022-05-11,20:27:22,Entered,entered
2022-05-11,20:39:15,Entered,entered
2022-05-11,20:39:25,PRAJWAL,52.57916666666666
2022-05-12,14:38:44,Entered,entered
2022-05-12,14:38:54,OTHERS,57.26350000000001
2022-05-12,15:16:24,Entered,entered
2022-05-12,15:16:34,OTHERS,54.67066666666666
2022-05-12,20:10:54,Entered,entered
2022-05-12,20:11:04,OTHERS,42.59464285714286
2022-05-12,20:11:44,Entered,entered
2022-05-12,20:11:54,OTHERS,41.875
2022-05-12,20:12:31,Entered,entered
2022-05-12,20:12:41,PARIKSHIT,45.31102564102563
2022-05-13,22:57:14,Entered,entered
2022-05-13,22:57:24,PARIKSHIT,42.61235294117647
2022-05-13,23:33:09,Entered,entered
2022-05-13,23:33:19,OTHERS,39.75333333333333
2022-05-13,23:34:02,Entered,entered
2022-05-13,23:34:12,OTHERS,42.723076923076924
2022-05-13,23:40:18,Entered,entered
2022-05-13,23:40:28,OTHERS,42.41592592592592
2022-05-13,23:45:19,Entered,entered
2022-05-13,23:45:29,PARIKSHIT,36.611111111111114
2022-05-13,23:48:50,Entered,entered
2022-05-13,23:49:00,PARIKSHIT,40.73833333333333
2022-05-13,23:50:28,Entered,entered
2022-05-13,23:50:38,PARIKSHIT,40.68538461538461
2022-05-13,23:52:07,Entered,entered
2022-05-13,23:52:17,PARIKSHIT,35.871538461538464
2022-05-14,00:01:58,Entered,entered
2022-05-14,00:02:08,OTHERS,36.6525
2022-05-14,10:31:58,Entered,entered
2022-05-14,10:32:08,PARIKSHIT,39.57200000000001
2022-05-14,10:39:57,Entered,entered
2022-05-14,10:40:07,PRAJWAL,64.49000000000002
