Date,time,prediction,response
2022-02-08,19:54:32,person,None
2022-02-08,19:55:35,person,None 
2022-02-08,19:56:36,person,None
2022-02-08,19:58:31,person,None
2022-02-08,19:58:43,person,None
2022-02-08,20:03:21,person,None
2022-02-08,20:05:48,started,None
2022-02-08,20:05:54,person,None
2022-02-08,20:07:12,started,None
2022-02-08,20:07:19,person,None
2022-02-08,20:07:58,toilet,None
2022-02-15,14:40:18,started,None
2022-02-15,14:40:30,person,None
2022-04-12,00:04:38,started,None
2022-04-12,00:09:29,started,None
2022-04-12,00:15:51,started,None
2022-04-12,00:16:04,person,None
2022-04-12,17:09:51,started,None
2022-04-12,17:10:02,person,None
2022-04-12,17:37:57,started,None
2022-04-12,17:38:07,person,None
2022-04-12,18:23:08,started,None
2022-04-12,18:23:20,person,None
2022-04-13,13:49:27,started,None
2022-04-13,13:49:40,person,None
2022-04-13,13:50:20,tvmonitor,None
2022-04-13,13:50:21,person,None
2022-04-13,13:50:21,tvmonitor,None
2022-04-13,13:50:22,person,None
2022-04-13,13:50:22,tvmonitor,None
2022-04-13,13:50:23,person,None
2022-04-13,13:50:23,tvmonitor,None
2022-04-13,13:50:24,person,None
2022-04-13,13:50:24,tvmonitor,None
2022-04-13,13:50:25,person,None
2022-04-13,13:50:25,tvmonitor,None
2022-04-13,13:50:25,person,None
2022-04-13,13:50:25,tvmonitor,None
2022-04-13,13:50:26,person,None
2022-04-13,13:50:26,tvmonitor,None
2022-04-13,13:50:27,person,None
2022-04-13,13:50:27,tvmonitor,None
2022-04-13,13:50:28,person,None
2022-04-13,13:50:28,tvmonitor,None
2022-04-13,13:50:29,person,None
2022-04-13,13:50:29,tvmonitor,None
2022-04-13,13:50:30,person,None
2022-04-13,13:50:30,tvmonitor,None
2022-04-13,13:50:31,person,None
2022-04-13,13:50:31,tvmonitor,None
2022-04-13,13:50:32,person,None
2022-04-13,13:50:32,tvmonitor,None
2022-04-13,13:50:33,person,None
2022-04-13,13:50:33,tvmonitor,None
2022-04-13,13:50:34,person,None
2022-04-13,13:50:34,tvmonitor,None
2022-04-13,13:50:35,person,None
2022-04-13,13:50:35,tvmonitor,None
2022-04-13,13:50:36,person,None
